soumu1	コンピュータ上で操作する対象を表現した小さな図やイラストのことを何というか。	アイコン	アイコン
soumu20	アプリケーションを保護された領域で動作させることによって、システムが不正に操作されるのを防ぐセキュリティモデルのことを何というか。	サンドボックス	サンドボックス
soumu21	人格権の一部で、自分の写真や絵の使用に関する権利のことを何というか。	肖像権	ショウゾウケン
soumu22	キーボードで入力しているところを後ろから盗み見て、パスワードなどの重要な情報を不正に入手する方法を何というか。	ショルダハッキング	ショルダハッキング
soumu23	企業・組織の情報システムで、社員などが利用するコンピュータ（クライアント）に最低限の機能だけを持たせて、サーバ側でアプリケーションソフトやファイルなどの管理を可能にするシステムの総称のことを何というか。	シンクライアント	シンクライアント
soumu24	コンピュータを一定時間操作しなかった場合に表示するアニメーションのことを何というか。	スクリーンセーバー	スクリーンセーバー
soumu25	1行ずつ実行される簡易なプログラム言語を何というか。	スクリプト	スクリプト
soumu26	無線LANのアクセスポイントで、SSIDを外部に見えなくする機能のことを何というか。	ステルス・キノウ	ステルス・キノウ
soumu27	利用者の使用するコンピュータから、インターネットに対して個人情報やコンピュータの情報などを送信するソフトウェアのことを何というか。	スパイウェア	スパイウェア
soumu28	アプリケーションを追加することで、いろいろな機能を使うことができる携帯電話を何というか。	スマートフォン	スマートフォン
soumu29	コンピュータやネットワークにおいて、情報セキュリティ上の問題となる可能性がある弱点のことを何というか。	脆弱性	ゼイジャクセイ
soumu30	バイオメトリクスのことを漢字で何というか。	生体情報	セイタイジョウホウ
soumu31	ひとりひとりが異なる人間の身体的特徴を利用する認証技術全般のことを何というか。	生体認証	セイタイニンショウ
soumu32	ホームページの閲覧などパソコンとWebサーバとの間で通信を行っている際に、その通信を利用者以外の者が乗っ取る攻撃のことを何というか。	セッションハイジャック	セッションハイジャック
soumu33	人間の心理的な隙などを突いて、コンピュータに侵入するための情報を盗み出すことを何というか。	ソーシャルエンジニアリング	ソーシャルエンジニアリング
soumu34	メンバーが交流しながら対戦したり、協力しあったりしながら、遊べるゲームのことを何というか。	ソーシャルゲーム	ソーシャルゲーム
soumu35	ネットワーク上のFTPサーバやWebサーバからファイルを取り出して、自分のコンピュータに保存することを何というか。	ダウンロード	ダウンロード
soumu36	Windowsでデスクトップの下に配置されている特殊なバーのことを何というか。	タスクバー	タスクバー
soumu37	指先や専用のペンで画面に触れることで入力を行う装置のことを何というか。	タッチパネル	タッチパネル
soumu38	同じ内容のメールの転送を促す文章が書かれた電子メールのことを何というか。	チェーンメール	チェーンメール
soumu39	インターネットで、複数の人と同時に文字やイラストを用いて会話できる仕組みのことを何というか。	チャット	チャット
soumu40	知的財産権のひとつで、著作物に対する著作者の権利のことを何というか。	著作権	チョサクケン
soumu41	ハードディスクやCD-ROMなどで、ファイルを保管する場所のことを何というか。	ディレクトリ	ディレクトリ
soumu42	コンピュータにデータを蓄積するソフトウェアまたはそのデータの集まりのことを何というか。	データベース	データベース
soumu43	インターネットを使用して、商品の売買やサービスの提供など、商業活動を行う仕組みのことを何というか。	電子商取引	デンシショウトリヒキ
soumu44	電子メールで本文とともに送信されるファイルのことを何というか。	添付ファイル	テンプファイル
soumu45	本来は文書を意味する言葉で、コンピュータの世界では、ワープロソフトや表計算ソフトで作成されたデータのことをを何というか。	ドキュメント	ドキュメント
soumu46	インターネット上で接続しているネットワークに設定される名前のことを何というか。	ドメイン	ドメイン
soumu47	ソーシャルエンジニアリングのひとつである“ごみ箱あさり”のことを何というか。	トラッシング	トラッシング
soumu48	コンピュータの内部に潜伏して、システムを破壊したり、外部からの不正侵入を助けたり、そのコンピュータの情報を外部に発信したりするプログラムを何というか。	トロイノモクバ	トロイノモクバ
soumu49	電子証明書の登録、発行および失効などを行う第三者認証機関のことを何というか。	認証局	ニンショウキョク
soumu50	利用者が本人であることを確認するためのサーバのことを何というか。	認証サーバ	ニンショウサーバ
soumu51	複数のコンピュータを接続して、データを共有化したり、他のコンピュータの機能を利用したり、共有のプリンタを使用したりできるようにする通信網のことを何というか。	ネットワーク	ネットワーク
soumu52	人間の身体的な特徴を利用した認証方法を何というか。	バイオメトリクス	バイオメトリクス
soumu53	インターネットに接続されたサーバの設置場所を貸し出すサービスのことを何というか。	ハウジングサービス	ハウジングサービス
soumu54	ネットワークを通して送信されるデータを分割する際に使われる単位のことを何というか。	パケット	パケット
soumu55	本人であることを確認するために、ユーザ名とともに入力する文字列を何というか。	パスワード	パスワード
soumu56	コンピュータ技術に長けた人のことを何というか。本来は悪い意味の言葉ではないが、現在は悪意を持ってコンピュータの不正利用や攻撃を行うクラッカーと同じ意味でも使われることが増えている。	ハッカー	ハッカー
soumu57	高度なコンピュータ技術を利用して、システムを解析したり、プログラムを修正したりする行為のことを何というか。	ハッキング	ハッキング
soumu58	データを磁気テープなどの別の記憶媒体に保存して、大事なデータの複製を作っておくことを何というか。	バックアップ	バックアップ
soumu59	外部からコンピュータに侵入しやすいように、“裏口”を開ける行為、または裏口を開けるプログラムのことを何というか。	バックドア	バックドア
soumu60	完成したプログラムに対して、脆弱性（ぜいじゃくせい）などをなくすために後から配布される修正プログラムのことを何というか。	パッチ	パッチ
soumu61	光ファイバーを利用した通信回線のことを何というか。ブロードバンド回線のひとつで、光ビームによってデータを送信する通信回線です。	光回線	ヒカリカイセン
soumu62	公開鍵暗号方式による暗号化や電子署名を利用する場合に、他人に見せることなく所有する鍵のことを何というか。	秘密鍵	ヒミツカギ
soumu63	ハードウェアの基本的な制御のために、コンピュータなど機器に組み込まれたソフトウェアのことを何というか。	ファームウェア	ファームウェア
soumu64	外部のネットワークと内部のネットワークを結ぶ箇所に導入することで、外部からの不正な侵入を防ぐことができるシステムのことを何というか。	ファイアウォール	ファイアウォール
soumu65	実在の金融機関（銀行やクレジットカード会社）、ショッピングサイトなどを装った電子メールを送付し、これらのホームページとそっくりの偽のサイトに誘導して、住所、氏名、銀行口座番号、クレジットカード番号などの重要な情報を入力させて詐取する行為のことを何というか。	フィッシング詐欺	フィッシングサギ
soumu66	一般的な意味では「ろ過」することですが、コンピュータやWebなどインターネットの世界では「情報ろ過」を何というか。	フィルタリング	フィルタリング
soumu67	ワープロソフトや表計算ソフトにおける文字などの書式設定のことを何というか。	フォーマット	フォーマット
soumu68	不正侵入の中継地点として利用されるコンピュータのことを何というか。	踏み台	フミダイ
soumu69	“私人の秘密”、“他人の干渉を許さない、各個人の私生活上の自由”のことを何というか。	プライバシー	プライバシー
soumu70	ホームページなどで個人情報の扱い方や考え方を明記したものを何というか。	プライバシーポリシー	プライバシーポリシー
soumu71	ホームページの訪問者に対して、連続的に新しいウィンドウを開いたり、電子メールのメッセージウィンドウを開いたりすることで、訪問者のコンピュータに異常な動作をさせるWeb ページのことを何というか。	ブラウザクラッシャ	ブラウザクラッシャ
soumu72	ソフトウェアが動作する土台となる基本システムやOSのことを何というか。	プラットフォーム	プラットフォーム
soumu73	ネットワークにおける広帯域幅を表す言葉を何というか。	ブロードバンド	ブロードバンド
soumu74	企業・組織などの内部のネットワークとインターネットの間にあって、直接インターネットに接続できない内部ネットワークのコンピュータに代わって、「代理」としてインターネットとの接続を行うコンピュータ、またはそのための機能を有するソフトウェアのことを何というか。	プロキシサーバ	プロキシサーバ
soumu75	インターネット上で公開されている日記形式のホームページのことを何というか。	ブログ	ブログ
soumu76	ネットワークを介してコンピュータ同士がデータをやり取りするために定められた、データ形式や送受信の手順などの国際標準規則のことを何というか。	プロトコル	プロトコル
soumu77	データの先頭にあるデータ自体の内容を表す情報を何というか。	ヘッダ	ヘッダ
soumu78	侵入テストのことを何というか。	ペネトレーションテスト	ペネトレーションテスト
soumu79	インターネットで情報のやり取りを行うために、使用される番号のことを何というか。	ポート	ポート
soumu80	Office アプリケーションで動作する、マクロ機能を使って作成されたコンピュータウイルスの一種を何というか。	マクロウイルス	マクロウイルス
soumu81	電子メールを利用した刊行物のことを何というか。	メールマガジン	メールマガジン
soumu82	コンピュータが使用する記憶領域のことを何というか。	メモリ	メモリ
soumu83	危機管理。発生する可能性のある事故に対して、その発生をできるだけ少なくし、事故が発生した場合の損害を最小に抑えるようにするために行う一連の行動や規範のことを何というか。	リスクマネジメント	リスクマネジメント
soumu84	Webページの文章内に埋め込まれた、他の関連文章のURLを示すものを何というか。	リンク	リンク
soumu85	セグメントと呼ばれるネットワークの単位にネットワークを分割する装置のことを何というか。	ルータ	ルータ
soumu86	他のファイルに寄生して増殖するのではなく、自分自身がファイルやメモリを使って自己増殖を行うタイプのウイルスのことを何というか。	ワーム	ワーム
soumu87	電子メールとWebサイトを利用した詐欺行為のことを何というか。	ワンクリック詐欺	ワンクリックサギ
