**文部科学省のサイトより**
光ファイバーなどの光を媒体にして情報伝達を行うネットワーク。,フォトニックネットワーク（photonic network）
物理現象を用いて作成した乱数。,物理乱数
脳波、脳の神経細胞の活動などをもとに、ロボットアームを動かす、あるいは逆に、手が触れるなどの感覚情報をもとに脳に電気刺激を加えて「主観的」感覚を再現する、などといったインタフェースのこと。,ブレインマシンインタフェース（brain machine interface）
ライフサイエンスの分野で、ある現象・機能の性質を見いだし記録する技術。情報科学技術のデータベース関連の技術と関連が深い。,プロファイリング（profiling）技術
インターネットを介して提供されている様々なサービス・情報源への入り口を集めたWebページ、これらを実現するシステム。,ポータルシステム（portal system）
無線でのインターネット接続サービスを不特定多数の利用者に提供している空間のこと。,ホットスポット（hot spot）
原子・分子レベルの長さから数センチメートル、数メートルの長さまでを、統一的・連続的に取り扱うシミュレーション。,マルチスケール（multi scale）
熱、構造、流体、化学反応等通常は個別に取り扱われる物理現象を統一して扱うこと。,マルチフィジックス（multi physics）
画像、音声等複数のメディアをデジタル技術を利用して複合して取り扱う技術。,マルチメディア（multi media）
複数の感覚種（モダリティ）情報からなるインタフェース構築法。たとえば、キーボードからのテキスト入力、ディスプレイへの情報出力に加え、音声、画像、利用者の身振り、手振り等の入力、触感覚のフィードバックの出力等を組み合わせたインタフェース。,マルチモーダルインタフェース（multi modal interface）
アプリケーションとOSの中間に位置付けられ、OSの相違に依存せず同一のアプリケーションを使用できるようにするソフトウェア。,ミドルウェア（middleware）
医学に情報科学的な視点や概念を導入した研究分野。,メディカルインフォマティクス（medical informatics）
いつでもどこでも情報にアクセスできるような環境のこと。,ユビキタス（ubiquitous）
量子ドットは10ナノメートル程度の箱であり、電子をそこに閉じ込めることにより、その性質を完全に制御することができる。人工原子とも呼ばれる。,量子ドット（dot）
流体解析と構造解析というように、大きな目的は異なる複数のシミュレーション技法を同時に用いて現象を解析する手法。,連成シミュレーション技法
