**文部科学省のサイトより**
education19	管理者が気づかないうちに第三者に乗っ取られ、不正アクセス等の中継地点に利用されているコンピュータを何というでしょう？	踏み台
education20	正規のアクセス権を持たない人が、ソフトウェアやOSの不具合などを悪用してアクセス権を取得し、不正にコンピュータを利用したり、利用を試みることを何というでしょう？	不正アクセス
education21	社会的生産基盤のことであり、ダム・道路・港湾・発電所・通信施設などの産業基盤、および学校・病院・公園などの社会福祉・環境施設を表す略語を何というでしょう？	インフラ
education22	米国科学財団（NSF）が出資している次世代インターネットの研究プロジェクトを何というでしょう？	Internet2
education23	IP（インターネットプロトコル）技術を利用した電話サービスのことを何というでしょう？	IP電話（IP phone）
education24	産・学・官・地域などと連携し、次世代のネットワーク関連技術の一層の高度化や多彩なアプリケーションの開発など、基礎的・基盤的な研究開発から実証実験まで推進することを目的とし、独立行政法人情報通信研究機構（NICT）が運用する研究開発用テストベッドネットワークを何というでしょう？	JGN2
education25	「最先端・高性能汎用スーパーコンピュータの開発利用」プロジェクトにおいて開発されるスーパーコンピュータの通称を何というでしょう？	次世代スーパーコンピュータ
education26	情報セキュリティに関する基本方針を何というでしょう？	情報セキュリティポリシー
education27	同じ建物等の中にあるコンピュータやプリンタなどを接続することにより構成されたネットワークのことを何というでしょう？	LAN（Local Area Network）
education28	農林水産省研究ネットワークを何というでしょう？	Maffin
education29	企業の基幹業務システムなどに用いられる汎用大型コンピュータのことを何というでしょう？	メインフレーム（Mainframe）
education30	インターネット等のネットワークを利用してデータのやり取りやサービスの授受を行う際、相手方が真にその名義人であるか、内容が改ざんされていないかを相互に保証するための仕組みのことを何というでしょう？	認証基盤
education31	平成18年度から開始されることとなっている文部科学省のプロジェクトを何というでしょう？	「最先端・高性能汎用スーパーコンピュータの開発利用」プロジェクト
education32	ネットワークに接続されているコンピュータに対し、特定の機能やデータを提供するために設けられているコンピュータのことを何というでしょう？	サーバ
education33	日本全国の大学、研究機関等の学術情報基盤として構築・運用されているネットワークを何というでしょう？	SINET
education34	ユーザーのニーズに最大限に応えるソフトウェアの仕様と基本設計を明確にする業務を行う人材を何というでしょう？	ソフトウェアアーキテクト（Software architect）
education35	データやプログラムを記憶する装置を何というでしょう？	ストレージ（Storage）
education36	大規模な科学技術計算に用いられる超高性能コンピュータを何というでしょう？	スーパーコンピュータ（Supercomputer）
education37	世界最先端クラスの性能と速度を誇る研究用情報ネットワークを何というでしょう？	スーパーSINET
education38	コンピュータシミュレーションにより水や空気の流れの解析等を行う学問を何というでしょう？	数値流体力学
education39	欧州全体の研究用ネットワークの構築・運営を行うDANTE（Delivery of Advanced Network Technology to Europe）が推進する、欧州-アジア間での教育研究用ネットワークの接続性を高めること、アジア地域内のネットワーク接続性を改善すること、アジア太平洋地域の国々の研究用ネットワークの発展のきっかけとなることを目的とし、欧州とアジア地域をネットワークで接続する取り組みを何というでしょう？	TEIN2
education40	恒星の光度・スペクトルなどから大気の組成や温度・圧力などを導き、物理学の諸法則から内部構造や、恒星・宇宙の進化などを研究する学問を何というでしょう？	天体物理学
education41	米国全土の科学者が光ネットワークによりコンピューティング・リソースを共有するため、米国内のスーパーコンピュータを接続するグリッドネットワークのことを何というでしょう？	TeraGrid
education42	技術の実運用のための実験・検証・評価を行う場のことを何というでしょう？	テストベッド（Testbed）
education43	生活や社会のいたるところで、自由に安心して利用できるネットワーク環境のことを何というでしょう？	ユビキタスネットワーク
education44	コンピュータにおけるユーザーへの情報表示様式や、ユーザーのデータ入力方式を規定したものを何というでしょう？	ユーザーインタフェース
education45	高速な演算処理能力と大きな記憶容量をもち、画像処理のための高解像度ディスプレーやネットワーク接続機能等を備えているパソコンより高性能なコンピュータを何というでしょう？	ワークステーション（Workstation）
education46	欧州合同素粒子原子核研究機構（CERN）で開発された、インターネット等で提供されるドキュメントシステムのことを何というでしょう？	World Wide Web
education47	デジタル化された地図のデータと、地図上の位置に関わる統計データ等の属性情報を関連づけて統合的に扱う情報システムを何というでしょう？	GIS
education48	インターネットを構成する通信機器が共通に使用する通信プロトコルを何というでしょう？	IP
education49	増加するインターネットの使用者に対応するため、現在のIP（IPv4）に代わるものとして準備が進められてきたプロトコルのことを何というでしょう？	IPv6
education50	情報技術を用いて、人と車両等と道路を結ぶことにより、道路交通問題の解決、関連した制御・管理を容易にする新しい交通システムを何というでしょう？	ITS
education51	ネットワークに接続された複数の機器が、互いに対等な立場で通信を行うシステム形態を何というでしょう？	P2P
education52	陽電子を放出する同位体で標識された薬剤を注射し、その体内分布を特殊なカメラで映像化する診断法を何というでしょう？	PET
education53	Webブラウザを通じて処理要求を受け、処理を行うシステムへの橋渡しの役割を担うアプリケーションを何というでしょう？	Webアプリケーション
education54	機械語やその機械語の組を「その動作を連想させるような英数字列」で表し、またアドレスも同様に英数字列で指定できる言語を何というでしょう？	アセンブリ（assembly）言語
education55	予め経路が定められていないネットワークを何というでしょう？	アドホックネットワーク（ad hoc network）
education56	的確にユーザの状況を理解し、最適な環境を提供する情報ネットワーク環境を何というでしょう？	アンビエントネットワーク（ambient network）
education57	利用者、その他の対象物の位置情報の検知と、検知した位置情報と地図情報等の他の情報の照合を何というでしょう？	位置情報センシング（sensing）・マッチング（matching）
education58	遺伝子（DNA）によって転写されたRNAのことを何というでしょう？	遺伝子転写物
education59	万人のニーズに対応する包括的なデザインを何というでしょう？	インクルーシブデザイン（inclusive design）
education60	複数のノードで構成される並列計算機における、ノード間を接続するネットワークのことを何というでしょう？	インターコネクション（interconnection）
education61	システムから利用者への一方的な情報提供だけでなく、利用者からシステムへ細かな要求が可能となる等、双方向的、対話的なインタフェースを何というでしょう？	インタラクティブインタフェース（interactive interface）
education62	身に付けることが出来るという意味をもつ情報機器のことを何というでしょう？	ウェアラブル（wearable）情報機器
education63	衛星の機能を維持するために必要な基本的機器で、構体、電源、テレメトリ・コマンド、熱制御、姿勢制御、推進などの各サブシステムに関する技術を何というでしょう？	衛星バス（bus）技術
education64	環境情報、経験を知識化し人間の感覚や情報処理の仕組みに適応した、自然な形で利活用する技術のことを何というでしょう？	エンハンストヒューマンインタフェース（enhanced human interface）
education65	プログラムの関数や式が持つ型に関する理論を何というでしょう？	型理論
education66	大学等の学術機関で生産された知的生産物を保存・公開することを目的とした電子アーカイブシステムを何というでしょう？	機関リポジトリ（repository）
education67	乱数列のように見えるが、実際には確定的な計算によって求めている数列に含まれる数を何というでしょう？	擬似乱数
education68	広い範囲に存在する複数のコンピュータをネットワークで接続し、強力な計算パワーを提供する仕組みを何というでしょう？	グリッドコンピューティング（grid computing）
education69	個人情報を管理するエージェントを何というでしょう？	個人エージェント（agent）
education70	環境や状況といったユーザを取り巻く情報をコンテクストとし、そのコンテクストに気づく（アウェアする）ことで、ユーザの目標としているタスクに最適な情報やサービスを提供する仕組みを何というでしょう？	コンテキストアウェアネス（context awareness）
education71	グリッドコンピューティング（前出）で、大規模な計算や多数の小規模計算を処理するための環境を何というでしょう？	コンピューティンググリッド（computing grid）
education72	設計者とユーザが共同でデザインを行うことを何というでしょう？	参加型デザイン
education73	他からの制御なしに自分自身で組織や構造をつくり出すことを何というでしょう？	自己組織化
education74	一つのシステムを形成するさまざまな機能を一つのチップの上に実現するLSIを何というでしょう？	システムLSI（Large Scale Integration）
education75	人間が活動する世界にコンピュータをとけこませるというアプローチで、計算機が計算機として人の前に現れるのではなく、人間の現実世界での活動の状況に応じてさりげなく支援を行うインターフェースのことを何というでしょう？	実世界指向インタフェース
education76	未成年者に有害情報を含む情報を提供しない等、利用者のプロフィールを調べ、全体の情報の中から適合するものを選択して示す方法を何というでしょう？	情報フィルタリング（filtering）
education77	瞬間的に非常に大きな量のエネルギーを生むことが出来る電気のストレージ・デバイスを何というでしょう？	スーパーキャパシタ（super capacitor）
education78	電子のスピンを用いたデバイスのことを何というでしょう？	スピンデバイス（spin device）
education79	組織内のセキュリティに関する基本方針を何というでしょう？	セキュリティポリシー（security policy）
education80	常温・常圧の穏やかな条件で生成される柔らかいナノ材料に関する分野を何というでしょう？	ソフトナノ（soft nano）
education81	信頼性、保全性及び安全性を保有するオペレーティングシステムを何というでしょう？	ディペンダブルオペレーティングシステム（dependable operating system）
education82	コンピュータを使って製品の設計を行うことを何というでしょう？	デジタルエンジニアリング（digital engineering）
education83	電子化されコンピュータで取り扱うことができる文書群を何というでしょう？	デジタルライブラリ（digital library）
education84	グリッドコンピューティング（前出）で、データの標準化・共有等、取り扱われるデータに特に着目した研究を何というでしょう？	データグリッド（data grid）
education85	大量のデータを解析し、データ項目間の関係、パターン等、利用者にとって判りやすく有用な知識を抽出する技術を何というでしょう？	データマイニング（data mining）
education86	高度な情報処理を行うことにより、人間に機器（コンピュータ）を使っていることを意識させずに扱うことを可能にするインタフェースを何というでしょう？	知的インタフェース
education87	数ミリ程度のICチップと、データを送受信するためのアンテナを内蔵したタグのことを何というでしょう？	電子タグ
education88	ナノメートルサイズの幅の鎖を何というでしょう？	ナノワイヤー（nano wire）
education89	生命科学に情報科学的な視点や概念を導入した研究分野を何というでしょう？	バイオインフォマティクス（bioinformatics）
education90	産業活力再生特別措置法第30条にある公費研究成果の取り扱いに関する条項の通称を何というでしょう？	バイドール（Bayh-Dole）
education91	高い温度や質の良い真空を用いて生成されるナノ材料に関する分野を何というでしょう？	ハードナノ（hard nano）
education92	光ファイバーなどの光を媒体にして情報伝達を行うネットワークを何というでしょう？	フォトニックネットワーク（photonic network）
education93	物理現象を用いて作成した乱数を何というでしょう？	物理乱数
education94	脳波、脳の神経細胞の活動などをもとに、ロボットアームを動かす、あるいは逆に、手が触れるなどの感覚情報をもとに脳に電気刺激を加えて「主観的」感覚を再現する、などといったインタフェースのことを何というでしょう？	ブレインマシンインタフェース（brain machine interface）
education95	ライフサイエンスの分野で、ある現象・機能の性質を見いだし記録する技術を何というでしょう？	プロファイリング（profiling）技術
education96	インターネットを介して提供されている様々なサービス・情報源への入り口を集めたWebページを実現するシステムのことを何というでしょう？	ポータルシステム（portal system）
education97	無線でのインターネット接続サービスを不特定多数の利用者に提供している空間のことを何というでしょう？	ホットスポット（hot spot）
education98	原子・分子レベルの長さから数センチメートル、数メートルの長さまでを、統一的・連続的に取り扱うシミュレーションを何というでしょう？	マルチスケール（multi scale）
education99	熱、構造、流体、化学反応等通常は個別に取り扱われる物理現象を統一して扱うことを何というでしょう？	マルチフィジックス（multi physics）
education100	画像、音声等複数のメディアをデジタル技術を利用して複合して取り扱う技術を何というでしょう？	マルチメディア（multi media）
education101	複数の感覚種（モダリティ）情報からなるインタフェース構築法を何というでしょう？	マルチモーダルインタフェース（multi modal interface）
education102	アプリケーションとOSの中間に位置付けられ、OSの相違に依存せず同一のアプリケーションを使用できるようにするソフトウェアを何というでしょう？	ミドルウェア（middleware）
education103	医学に情報科学的な視点や概念を導入した研究分野を何というでしょう？	メディカルインフォマティクス（medical informatics）
education104	いつでもどこでも情報にアクセスできるような環境のことを何というでしょう？	ユビキタス（ubiquitous）
education105	電子をそこに閉じ込めることにより、その性質を完全に制御することができる10ナノメートル程度の箱を何というでしょう？	量子ドット（dot）
education106	流体解析と構造解析というように、大きな目的は異なる複数のシミュレーション技法を同時に用いて現象を解析する手法を何というでしょう？	連成シミュレーション技法
